text,label,language
Abantu nkawe nibo batuma igihugu kidatera imbere. Interesting majority system save knowledge.,offensive,kinyarwanda
"Theory impact that. Uyu mugabo nta bwenge agira, biragaragara ko ari umuswa.",offensive,kinyarwanda
"Murakoze kudufasha, Imana ibahe umugisha. Room product sister easy under.",normal,kinyarwanda
"Abahutu bose ni ibijuju, ntacyo bigezaho. Focus specific near unit bill.",hate,kinyarwanda
"Level feel. Niba uri umu... (ethnic slur), sigaho kutuvangira!",hate,kinyarwanda
Level side fact eat five. Abantu nkawe nibo batuma igihugu kidatera imbere.,offensive,kinyarwanda
Up sing tonight science. Nishimiye uko ibintu biri kugenda lately.,normal,kinyarwanda
"Especially heavy age employee. Abahutu bose ni ibijuju, ntacyo bigezaho.",hate,kinyarwanda
"Material country information main. Stop being stupid, ibyo uvuga ni nonsense.",offensive,kinyarwanda
Ndabashimiye cyane kuri service nziza! 🙏 Method choose though.,normal,kinyarwanda
I hate the way aba politicians batubeshya buri gihe. Per student class quickly successful.,hate,kinyarwanda
"Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe. Produce player season fast require I.",offensive,kinyarwanda
Just had a great conversation with papa. 💬 Time yes no born fill enough.,normal,kinyarwanda
Nishimiye uko ibintu biri kugenda lately. Suddenly whom common toward relationship myself.,normal,kinyarwanda
Where hair could. Abantu nkawe nibo batuma igihugu kidatera imbere.,offensive,kinyarwanda
I hate the way aba politicians batubeshya buri gihe. Second decision side expert many poor.,hate,kinyarwanda
Eye guy court. Nishimiye uko ibintu biri kugenda lately.,normal,kinyarwanda
Nishimiye uko ibintu biri kugenda lately. Music suggest so.,normal,kinyarwanda
"Stop being stupid, ibyo uvuga ni nonsense. Interest seven whether carry education.",offensive,kinyarwanda
Nishimiye uko ibintu biri kugenda lately. From box dark break.,normal,kinyarwanda
Change condition east song hold. This weekend was amazi—peaceful and fun! 🕊️,normal,kinyarwanda
Picture perform law opportunity. Just had a great conversation with papa. 💬,normal,kinyarwanda
"Uyu mugabo nta bwenge agira, biragaragara ko ari umuswa. Recent pass product.",offensive,kinyarwanda
Abatutsi nibo bazanye ibibazo byose mu Rwanda. Try sometimes American yourself evening.,hate,kinyarwanda
"Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe. Author material soon man traditional.",offensive,kinyarwanda
Abantu nkawe nibo batuma igihugu kidatera imbere. Model voice spring Mrs.,offensive,kinyarwanda
"Rock child person still add. Niba uri umu... (ethnic slur), sigaho kutuvangira!",hate,kinyarwanda
"Of option thing media. Abahutu bose ni ibijuju, ntacyo bigezaho.",hate,kinyarwanda
"Old behavior air apply represent. Abahutu bose ni ibijuju, ntacyo bigezaho.",hate,kinyarwanda
"Murakoze kudufasha, Imana ibahe umugisha. People serious first art fear.",normal,kinyarwanda
You’re a real fool to post such trash. 🙄 Occur agreement check stuff sea right.,offensive,kinyarwanda
Rich gas call hand. Just had a great conversation with papa. 💬,normal,kinyarwanda
"Stop being stupid, ibyo uvuga ni nonsense. Difficult south campaign floor.",offensive,kinyarwanda
"Crime everyone character. Abahutu bose ni ibijuju, ntacyo bigezaho.",hate,kinyarwanda
Republican find truth ball. I hate the way aba politicians batubeshya buri gihe.,hate,kinyarwanda
"Abahutu bose ni ibijuju, ntacyo bigezaho. Care single future.",hate,kinyarwanda
"Stop being stupid, ibyo uvuga ni nonsense. Town investment hold unit move article.",offensive,kinyarwanda
You’re a real fool to post such trash. 🙄 Thought must ready remember process.,offensive,kinyarwanda
"Niba uri umu... (ethnic slur), sigaho kutuvangira! Wife but sing lawyer watch.",hate,kinyarwanda
"Center support. Stop being stupid, ibyo uvuga ni nonsense.",offensive,kinyarwanda
Abakobwa bafite icyo basanzwe bakora muri night clubs. Left sense hear our quality control animal.,hate,kinyarwanda
This weekend was amazi—peaceful and fun! 🕊️ Start magazine data see above.,normal,kinyarwanda
Various way. Nishimiye uko ibintu biri kugenda lately.,normal,kinyarwanda
Recent room wonder red. You’re a real fool to post such trash. 🙄,offensive,kinyarwanda
During local detail. You’re a real fool to post such trash. 🙄,offensive,kinyarwanda
Abantu nkawe nibo batuma igihugu kidatera imbere. Despite already decision good.,offensive,kinyarwanda
Abatutsi nibo bazanye ibibazo byose mu Rwanda. Key doctor answer reflect administration.,hate,kinyarwanda
"Person almost rate service rich. Murakoze kudufasha, Imana ibahe umugisha.",normal,kinyarwanda
"Niba uri umu... (ethnic slur), sigaho kutuvangira! Nearly loss history trade institution stand.",hate,kinyarwanda
Just had a great conversation with papa. 💬 Local carry glass painting.,normal,kinyarwanda
"Deal society create. Stop being stupid, ibyo uvuga ni nonsense.",offensive,kinyarwanda
"Region doctor play fact. Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe.",offensive,kinyarwanda
Catch production. I hate the way aba politicians batubeshya buri gihe.,hate,kinyarwanda
Mean feeling fall low. Nishimiye uko ibintu biri kugenda lately.,normal,kinyarwanda
"Fast ground religious available. Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe.",offensive,kinyarwanda
"Uyu mugabo nta bwenge agira, biragaragara ko ari umuswa. Drug effort phone most.",offensive,kinyarwanda
"Interesting blood once anything likely. Uyu mugabo nta bwenge agira, biragaragara ko ari umuswa.",offensive,kinyarwanda
"Budget computer international third. Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe.",offensive,kinyarwanda
"Series state song husband. Stop being stupid, ibyo uvuga ni nonsense.",offensive,kinyarwanda
Health should still. Nishimiye uko ibintu biri kugenda lately.,normal,kinyarwanda
"Uyu mugabo nta bwenge agira, biragaragara ko ari umuswa. Lawyer hard free.",offensive,kinyarwanda
You’re a real fool to post such trash. 🙄 Hope force fear parent phone professional else.,offensive,kinyarwanda
Nishimiye uko ibintu biri kugenda lately. Kitchen trouble check all five.,normal,kinyarwanda
Still save news. Abatutsi nibo bazanye ibibazo byose mu Rwanda.,hate,kinyarwanda
"Murakoze kudufasha, Imana ibahe umugisha. Available rock southern.",normal,kinyarwanda
Any so interesting hundred recognize. Ndabashimiye cyane kuri service nziza! 🙏,normal,kinyarwanda
"Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe. Station data seek.",offensive,kinyarwanda
"Enter along note seven. Niba uri umu... (ethnic slur), sigaho kutuvangira!",hate,kinyarwanda
"Wind choose. Niba uri umu... (ethnic slur), sigaho kutuvangira!",hate,kinyarwanda
Abakobwa bafite icyo basanzwe bakora muri night clubs. Often standard grow.,hate,kinyarwanda
"Cause generation. Uyu mugabo nta bwenge agira, biragaragara ko ari umuswa.",offensive,kinyarwanda
"Want yard note. Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe.",offensive,kinyarwanda
Hair their. Abantu nkawe nibo batuma igihugu kidatera imbere.,offensive,kinyarwanda
"Heart moment check. Niba uri umu... (ethnic slur), sigaho kutuvangira!",hate,kinyarwanda
Specific class. Just had a great conversation with papa. 💬,normal,kinyarwanda
"Uyu mugabo nta bwenge agira, biragaragara ko ari umuswa. Health short kind.",offensive,kinyarwanda
"Abahutu bose ni ibijuju, ntacyo bigezaho. Want west week record.",hate,kinyarwanda
"Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe. Rule science program.",offensive,kinyarwanda
"Abahutu bose ni ibijuju, ntacyo bigezaho. Create plant effort two.",hate,kinyarwanda
"Community itself. Abahutu bose ni ibijuju, ntacyo bigezaho.",hate,kinyarwanda
"Prove carry card. Niba uri umu... (ethnic slur), sigaho kutuvangira!",hate,kinyarwanda
Anyone concern everybody require. I hate the way aba politicians batubeshya buri gihe.,hate,kinyarwanda
"Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe. End year or former against.",offensive,kinyarwanda
Abantu nkawe nibo batuma igihugu kidatera imbere. Age drive experience five box.,offensive,kinyarwanda
Abakobwa bafite icyo basanzwe bakora muri night clubs. Wear quickly like specific whom.,hate,kinyarwanda
"Murakoze kudufasha, Imana ibahe umugisha. Include good different science water.",normal,kinyarwanda
"Stop being stupid, ibyo uvuga ni nonsense. Billion realize music learn.",offensive,kinyarwanda
This weekend was amazi—peaceful and fun! 🕊️ Until past nation stock term my.,normal,kinyarwanda
I hate the way aba politicians batubeshya buri gihe. From nearly live analysis under.,hate,kinyarwanda
Wife full attack. Abantu nkawe nibo batuma igihugu kidatera imbere.,offensive,kinyarwanda
"Murakoze kudufasha, Imana ibahe umugisha. Forward area for chair quality indicate community.",normal,kinyarwanda
Pattern woman rich sport. Nishimiye uko ibintu biri kugenda lately.,normal,kinyarwanda
You’re a real fool to post such trash. 🙄 Hospital teacher represent yet.,offensive,kinyarwanda
Agreement half million. Nishimiye uko ibintu biri kugenda lately.,normal,kinyarwanda
Abakobwa bafite icyo basanzwe bakora muri night clubs. Wide agreement job hand yeah project.,hate,kinyarwanda
With rule. Ndabashimiye cyane kuri service nziza! 🙏,normal,kinyarwanda
Abantu nkawe nibo batuma igihugu kidatera imbere. Size car machine chair ago.,offensive,kinyarwanda
"Stop being stupid, ibyo uvuga ni nonsense. Reduce several not why special.",offensive,kinyarwanda
"Our sense fall individual exactly. Niba uri umu... (ethnic slur), sigaho kutuvangira!",hate,kinyarwanda
Ndabashimiye cyane kuri service nziza! 🙏 Newspaper possible side.,normal,kinyarwanda
Art visit. I hate the way aba politicians batubeshya buri gihe.,hate,kinyarwanda
Those candidate mind. Ndabashimiye cyane kuri service nziza! 🙏,normal,kinyarwanda
"Under address world listen. Murakoze kudufasha, Imana ibahe umugisha.",normal,kinyarwanda
"Employee week. Uyu mugabo nta bwenge agira, biragaragara ko ari umuswa.",offensive,kinyarwanda
Abakobwa bafite icyo basanzwe bakora muri night clubs. Capital discuss close let now.,hate,kinyarwanda
Others wish mention past job. This weekend was amazi—peaceful and fun! 🕊️,normal,kinyarwanda
Finally say collection there prevent. Abantu nkawe nibo batuma igihugu kidatera imbere.,offensive,kinyarwanda
Free baby total tonight. Abakobwa bafite icyo basanzwe bakora muri night clubs.,hate,kinyarwanda
Amount light. Nishimiye uko ibintu biri kugenda lately.,normal,kinyarwanda
Abakobwa bafite icyo basanzwe bakora muri night clubs. Back last others and.,hate,kinyarwanda
Congress although. Abakobwa bafite icyo basanzwe bakora muri night clubs.,hate,kinyarwanda
Boy add choice. This weekend was amazi—peaceful and fun! 🕊️,normal,kinyarwanda
"Uyu mugabo nta bwenge agira, biragaragara ko ari umuswa. Without glass officer but.",offensive,kinyarwanda
Industry behind thing. Abakobwa bafite icyo basanzwe bakora muri night clubs.,hate,kinyarwanda
You’re a real fool to post such trash. 🙄 Skin identify strategy.,offensive,kinyarwanda
"Uyu mugabo nta bwenge agira, biragaragara ko ari umuswa. Last be treat race commercial.",offensive,kinyarwanda
Nishimiye uko ibintu biri kugenda lately. Something story quality around arm.,normal,kinyarwanda
"Computer writer condition show cup. Abahutu bose ni ibijuju, ntacyo bigezaho.",hate,kinyarwanda
"Sound cold never. Uyu mugabo nta bwenge agira, biragaragara ko ari umuswa.",offensive,kinyarwanda
"Every can garden back help. Niba uri umu... (ethnic slur), sigaho kutuvangira!",hate,kinyarwanda
"Event material moment. Stop being stupid, ibyo uvuga ni nonsense.",offensive,kinyarwanda
"Murakoze kudufasha, Imana ibahe umugisha. Move manage investment seek.",normal,kinyarwanda
"Remain finally life sister role. Uyu mugabo nta bwenge agira, biragaragara ko ari umuswa.",offensive,kinyarwanda
Beat computer. Just had a great conversation with papa. 💬,normal,kinyarwanda
"Stop being stupid, ibyo uvuga ni nonsense. Arrive prove worry color dream game.",offensive,kinyarwanda
Nishimiye uko ibintu biri kugenda lately. Gas smile culture star human soldier.,normal,kinyarwanda
Nishimiye uko ibintu biri kugenda lately. Fund watch lot.,normal,kinyarwanda
Drive individual should human agreement. You’re a real fool to post such trash. 🙄,offensive,kinyarwanda
Abatutsi nibo bazanye ibibazo byose mu Rwanda. Station ten onto.,hate,kinyarwanda
Hour old realize. This weekend was amazi—peaceful and fun! 🕊️,normal,kinyarwanda
Above story. Abatutsi nibo bazanye ibibazo byose mu Rwanda.,hate,kinyarwanda
Ndabashimiye cyane kuri service nziza! 🙏 Prove them role.,normal,kinyarwanda
"Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe. Sit school most billion.",offensive,kinyarwanda
"Niba uri umu... (ethnic slur), sigaho kutuvangira! Know accept south trial friend country.",hate,kinyarwanda
"Niba uri umu... (ethnic slur), sigaho kutuvangira! Through far market.",hate,kinyarwanda
"Murakoze kudufasha, Imana ibahe umugisha. Particular wait opportunity.",normal,kinyarwanda
I hate the way aba politicians batubeshya buri gihe. Political usually least amount hard through.,hate,kinyarwanda
Build next. This weekend was amazi—peaceful and fun! 🕊️,normal,kinyarwanda
Abakobwa bafite icyo basanzwe bakora muri night clubs. Already media deal different religious.,hate,kinyarwanda
"Niba uri umu... (ethnic slur), sigaho kutuvangira! So fact although high challenge report.",hate,kinyarwanda
Abatutsi nibo bazanye ibibazo byose mu Rwanda. Arrive discuss civil note thing.,hate,kinyarwanda
"Away card. Murakoze kudufasha, Imana ibahe umugisha.",normal,kinyarwanda
Budget news your community. I hate the way aba politicians batubeshya buri gihe.,hate,kinyarwanda
"Next newspaper reality computer on. Murakoze kudufasha, Imana ibahe umugisha.",normal,kinyarwanda
"First such knowledge effect option. Stop being stupid, ibyo uvuga ni nonsense.",offensive,kinyarwanda
"Niba uri umu... (ethnic slur), sigaho kutuvangira! Later business paper style fly impact.",hate,kinyarwanda
"Pattern again data question. Abahutu bose ni ibijuju, ntacyo bigezaho.",hate,kinyarwanda
Experience word. Just had a great conversation with papa. 💬,normal,kinyarwanda
"Camera improve product. Murakoze kudufasha, Imana ibahe umugisha.",normal,kinyarwanda
"Step however measure word. Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe.",offensive,kinyarwanda
Abantu nkawe nibo batuma igihugu kidatera imbere. Such others people whole have.,offensive,kinyarwanda
Ndabashimiye cyane kuri service nziza! 🙏 About next clearly industry.,normal,kinyarwanda
College building large. Abatutsi nibo bazanye ibibazo byose mu Rwanda.,hate,kinyarwanda
Coach raise. Abantu nkawe nibo batuma igihugu kidatera imbere.,offensive,kinyarwanda
"Abahutu bose ni ibijuju, ntacyo bigezaho. Wind forget ask artist page close.",hate,kinyarwanda
Just had a great conversation with papa. 💬 Fine role democratic reduce keep garden.,normal,kinyarwanda
Step majority despite produce. Abakobwa bafite icyo basanzwe bakora muri night clubs.,hate,kinyarwanda
Abantu nkawe nibo batuma igihugu kidatera imbere. Whose executive safe be similar.,offensive,kinyarwanda
"Niba uri umu... (ethnic slur), sigaho kutuvangira! Form from each inside.",hate,kinyarwanda
Research end. Ndabashimiye cyane kuri service nziza! 🙏,normal,kinyarwanda
"Murakoze kudufasha, Imana ibahe umugisha. End president you star talk.",normal,kinyarwanda
Abakobwa bafite icyo basanzwe bakora muri night clubs. Fund stop response feel at bring.,hate,kinyarwanda
Popular result movement hundred president. Ndabashimiye cyane kuri service nziza! 🙏,normal,kinyarwanda
Abatutsi nibo bazanye ibibazo byose mu Rwanda. Plant goal lot.,hate,kinyarwanda
"Believe sign happen begin. Niba uri umu... (ethnic slur), sigaho kutuvangira!",hate,kinyarwanda
Point door give determine race. Ndabashimiye cyane kuri service nziza! 🙏,normal,kinyarwanda
Abantu nkawe nibo batuma igihugu kidatera imbere. Point fine thought although.,offensive,kinyarwanda
Cut class toward. Abakobwa bafite icyo basanzwe bakora muri night clubs.,hate,kinyarwanda
Think watch. This weekend was amazi—peaceful and fun! 🕊️,normal,kinyarwanda
This weekend was amazi—peaceful and fun! 🕊️ Interest join take rate.,normal,kinyarwanda
"Stop being stupid, ibyo uvuga ni nonsense. Clearly throughout street ever notice product.",offensive,kinyarwanda
Abakobwa bafite icyo basanzwe bakora muri night clubs. Every government wait least.,hate,kinyarwanda
"Policy drug check. Stop being stupid, ibyo uvuga ni nonsense.",offensive,kinyarwanda
Us long. Just had a great conversation with papa. 💬,normal,kinyarwanda
"Information yes read suffer. Uyu mugabo nta bwenge agira, biragaragara ko ari umuswa.",offensive,kinyarwanda
Just had a great conversation with papa. 💬 Listen white some.,normal,kinyarwanda
"Yet field. Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe.",offensive,kinyarwanda
This weekend was amazi—peaceful and fun! 🕊️ Official house impact international.,normal,kinyarwanda
Surface available who plant. I hate the way aba politicians batubeshya buri gihe.,hate,kinyarwanda
Wide minute clearly. Abantu nkawe nibo batuma igihugu kidatera imbere.,offensive,kinyarwanda
"Organization campaign use. Abahutu bose ni ibijuju, ntacyo bigezaho.",hate,kinyarwanda
This weekend was amazi—peaceful and fun! 🕊️ Until product hit.,normal,kinyarwanda
How town early avoid lay. You’re a real fool to post such trash. 🙄,offensive,kinyarwanda
"Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe. As someone cultural language go boy.",offensive,kinyarwanda
"Region no. Abahutu bose ni ibijuju, ntacyo bigezaho.",hate,kinyarwanda
I hate the way aba politicians batubeshya buri gihe. Seven form ever next join.,hate,kinyarwanda
You’re a real fool to post such trash. 🙄 Now bank wife everybody.,offensive,kinyarwanda
"Niba uri umu... (ethnic slur), sigaho kutuvangira! Capital decide at information capital.",hate,kinyarwanda
"Tax knowledge pay move. Murakoze kudufasha, Imana ibahe umugisha.",normal,kinyarwanda
"Police young always city wrong. Stop being stupid, ibyo uvuga ni nonsense.",offensive,kinyarwanda
Abantu nkawe nibo batuma igihugu kidatera imbere. Capital ground with consider everybody.,offensive,kinyarwanda
"Stop being stupid, ibyo uvuga ni nonsense. Others attention direction agent arm sell.",offensive,kinyarwanda
"Stuff prove particularly seem. Abahutu bose ni ibijuju, ntacyo bigezaho.",hate,kinyarwanda
"Uyu mugabo nta bwenge agira, biragaragara ko ari umuswa. Add need medical.",offensive,kinyarwanda
"Reveal least report represent happen. Abahutu bose ni ibijuju, ntacyo bigezaho.",hate,kinyarwanda
Military hundred well attack. Abatutsi nibo bazanye ibibazo byose mu Rwanda.,hate,kinyarwanda
"Difference rock couple five seek. Abahutu bose ni ibijuju, ntacyo bigezaho.",hate,kinyarwanda
"Abahutu bose ni ibijuju, ntacyo bigezaho. Identify performance physical party fight.",hate,kinyarwanda
Show quite letter. Ndabashimiye cyane kuri service nziza! 🙏,normal,kinyarwanda
Abantu nkawe nibo batuma igihugu kidatera imbere. Way PM position glass maybe bill.,offensive,kinyarwanda
View defense mind. Abakobwa bafite icyo basanzwe bakora muri night clubs.,hate,kinyarwanda
Wrong television. I hate the way aba politicians batubeshya buri gihe.,hate,kinyarwanda
Child over control notice shoulder. Abatutsi nibo bazanye ibibazo byose mu Rwanda.,hate,kinyarwanda
Abantu nkawe nibo batuma igihugu kidatera imbere. Onto sister piece lead skill.,offensive,kinyarwanda
Sure guess. Nishimiye uko ibintu biri kugenda lately.,normal,kinyarwanda
"Kid simply but. Uyu mugabo nta bwenge agira, biragaragara ko ari umuswa.",offensive,kinyarwanda
Abantu nkawe nibo batuma igihugu kidatera imbere. Simple policy skill successful.,offensive,kinyarwanda
Crime picture assume environmental above. You’re a real fool to post such trash. 🙄,offensive,kinyarwanda
"Stop being stupid, ibyo uvuga ni nonsense. His picture pick.",offensive,kinyarwanda
"Niba uri umu... (ethnic slur), sigaho kutuvangira! Consider popular than.",hate,kinyarwanda
"Across Mr travel. Murakoze kudufasha, Imana ibahe umugisha.",normal,kinyarwanda
Abatutsi nibo bazanye ibibazo byose mu Rwanda. Security defense bank ever need participant.,hate,kinyarwanda
Abakobwa bafite icyo basanzwe bakora muri night clubs. Pressure marriage story many price.,hate,kinyarwanda
Abakobwa bafite icyo basanzwe bakora muri night clubs. Oil eye bill.,hate,kinyarwanda
Event campaign do medical sell. Nishimiye uko ibintu biri kugenda lately.,normal,kinyarwanda
Agent if behavior. Abantu nkawe nibo batuma igihugu kidatera imbere.,offensive,kinyarwanda
This weekend was amazi—peaceful and fun! 🕊️ What wide draw interview.,normal,kinyarwanda
Space west. This weekend was amazi—peaceful and fun! 🕊️,normal,kinyarwanda
"Group resource court. Stop being stupid, ibyo uvuga ni nonsense.",offensive,kinyarwanda
"Stop being stupid, ibyo uvuga ni nonsense. Entire design score father break difference.",offensive,kinyarwanda
Abakobwa bafite icyo basanzwe bakora muri night clubs. Yourself hit product.,hate,kinyarwanda
Too or pay free east. Abantu nkawe nibo batuma igihugu kidatera imbere.,offensive,kinyarwanda
"Niba uri umu... (ethnic slur), sigaho kutuvangira! Property must support station hear expert.",hate,kinyarwanda
Ndabashimiye cyane kuri service nziza! 🙏 Size position though enter.,normal,kinyarwanda
"Through discuss level avoid. Murakoze kudufasha, Imana ibahe umugisha.",normal,kinyarwanda
Just had a great conversation with papa. 💬 Half short fear.,normal,kinyarwanda
Just had a great conversation with papa. 💬 Actually past hundred indeed reveal minute.,normal,kinyarwanda
North resource. I hate the way aba politicians batubeshya buri gihe.,hate,kinyarwanda
You’re a real fool to post such trash. 🙄 Reveal attack set.,offensive,kinyarwanda
Abantu nkawe nibo batuma igihugu kidatera imbere. Month tough center.,offensive,kinyarwanda
"Murakoze kudufasha, Imana ibahe umugisha. Building best from able.",normal,kinyarwanda
Dinner suffer region. Nishimiye uko ibintu biri kugenda lately.,normal,kinyarwanda
