text,label,clean_text
Nyamara yago nubwo yataruste inzego ark yavuze ukuri kd muzehe biriya bintu aba abizi anabibona nuko aba yiturije 😎,positive,nyamara yago nubwo yataruste inzego ark yavuze ukuri kd muzehe biriya bintu aba abizi anabibona nuko aba yiturije
"Strong testimonies in ligne with #IWD2022 Iyo bavuze #Mutimawurugo numva imbaraga, numva ubushobozi, numva ukwihangana, numva umutima. Happy #InternationalWomensDay2022 my sisters🙏🏾 https://t.co/zsYx38t4zD",positive,strong testimonies ligne iwd iyo bavuze mutimawurugo numva imbaraga numva ubushobozi numva ukwihangana numva umutima happy internationalwomensday sisters
@user @user mukomeze mubigishe kurera Amaboko aho kubereka uko Bajya muri BDF bagafata Amafaranga bakihangira umurimo https://t.co/2Uh6Z4EKhA,neutral,mukomeze mubigishe kurera amaboko aho kubereka bajya muri bdf bagafata amafaranga bakihangira umurimo
Niba kwifuza Ari Icyaha ubwo abantu ba hano bagikora buri munota ngabo muri mwandemeye Aba follow like retweet....😂😂😂,negative,niba kwifuza ari icyaha abantu ba hano bagikora buri munota ngabo muri mwandemeye aba follow like retweet
@user None se uwo mwuka wera ko nta we ndi kubona?,negative,se uwo mwuka wera ko nta ndi kubona
Umunsi mwiza Love ♥️♥️♥️ nawe ntugacike intege ahubwo ibyiza birimbere https://t.co/18adzzD77T,positive,umunsi mwiza love nawe ntugacike intege ahubwo ibyiza birimbere
@user uh! N'umusazi ko atinya nyina ra!,negative,uh numusazi ko atinya nyina ra
@user Oya nanone twamuhugura aho kumwifuriza ibibi. Erega iyo Umunyarwanda ahungabanye ingaruka nawe zikugeraho.,positive,oya nanone twamuhugura aho kumwifuriza ibibi erega iyo umunyarwanda ahungabanye ingaruka nawe zikugeraho
@user Aho bukera nayo iribwurire kbc,neutral,aho bukera nayo iribwurire kbc
@user Koraha👋urumuntu w'umugabo niba bose babimenyaga ntawazongera kwiyahura👀,positive,korahaurumuntu wumugabo niba bose babimenyaga ntawazongera kwiyahura
Hawa nao wana ni tempt na loan kubwa hivi ...,neutral,hawa nao wana ni tempt loan kubwa hivi
"@user Uwo kurara tugenda, bazubake comptoire muri free zone twinywere twisanzuye tubyina.",negative,uwo kurara tugenda bazubake comptoire muri free zone twinywere twisanzuye tubyina
Ntugate umwanya wae wigisha cg uhanura udashaka guhinduka ... Kuko ntibishoboka ko wahindura umuntu mudahuje imico😔,negative,ntugate umwanya wae wigisha cg uhanura udashaka guhinduka kuko ntibishoboka ko wahindura umuntu mudahuje imico
@user Rayon imyenda tadusaziyeho peee!! Uziko ku mupira wa Mico izina Rayon ryasibye!!! Shameful for @user,negative,rayon imyenda tadusaziyeho peee uziko mupira wa mico izina rayon ryasibye shameful
"Umwana wese afite ubu burenganzira yaba ikiciro 1,2 gukomeza Umwana ahava akajyera agomba kwitabwaho Neza. @user Murakoze https://t.co/V576zIv76x",positive,umwana wese afite ubu burenganzira yaba ikiciro gukomeza umwana ahava akajyera agomba kwitabwaho neza murakoze
"@user Umurenge wa Rwerere ufite ubuyobozi kd nta mukozi uri hejuru y'ubuyobozi, sinzi niba warahageze ntiwakirwe cg ukakirwa nabi? #umuturagekwisonga #Rwerere niyontego https://t.co/FCwJpbLrRG",neutral,umurenge wa rwerere ufite ubuyobozi kd nta mukozi uri hejuru yubuyobozi sinzi niba warahageze ntiwakirwe cg ukakirwa nabi umuturagekwisonga rwerere niyontego
"@user @user @user Ndabyumva. Joe yaratunguranye agenda abantu batazi bazi ko anarwaye, none ndebera na Jay",negative,ndabyumva joe yaratunguranye agenda abantu batazi bazi ko anarwaye ndebera jay
"@user biroroshye, Nusoza akazi ufate akamoto kakugeze kuri Nyabarongo.",positive,biroroshye nusoza akazi ufate akamoto kakugeze kuri nyabarongo
@user Ngaho ndebera 🙄😹🙄 Ubu njye nkina amakarita nirukanywe mw'irindo ry'umwuga.(retired),negative,ngaho ndebera ubu njye nkina amakarita nirukanywe mwirindo ryumwugaretired
Kurikira gahunda y'imikino ishyushye StarTimes igufitiye kuri shene zayo za siporo. 📺😊 Online via StarTimes ON: https://t.co/N3uk6f6twg https://t.co/X758y86wyi,neutral,kurikira gahunda yimikino ishyushye startimes igufitiye kuri shene zayo za siporo online startimes
Turacyakomeza gusoma cya gitabo iri ni iriburiro. Buri wese naze yihahire ubumenyi bwuje inama kwa Hon. @user https://t.co/IWUH8ntMSD,positive,turacyakomeza gusoma cya gitabo iri ni iriburiro buri wese naze yihahire ubumenyi bwuje inama kwa hon
@user @user @user Kwinjira mu Rwanda uturutse hanze yarwo bisaba kuzuza Passenger Locator Form nk’uko bisanzwe.,neutral,kwinjira rwanda uturutse hanze yarwo bisaba kuzuza passenger locator form nkuko bisanzwe
@user @user Wagiye ureka gu controrwa n'umunwa ahubwo umunwa ukawucontrola ahubwo. Ubu kuvuga uko urumva bikubahishije??,negative,wagiye ureka gu controrwa numunwa ahubwo umunwa ukawucontrola ahubwo ubu kuvuga urumva bikubahishije
@user @user @user @user Ubundise sukubatora bakizamurira iterambere ryimifuka yabo gusa nokudukiza amazi yibiza ntibyabananiye,negative,ubundise sukubatora bakizamurira iterambere ryimifuka yabo gusa nokudukiza amazi yibiza ntibyabananiye
"Banyarwanda, Umunsi mwiza w'Intwari! Ntituzibagirwa na rimwe Intwari z'u #Rwanda, zitanze ngo rweme twemarare🇷🇼 https://t.co/vnfM7MKWOT",positive,banyarwanda umunsi mwiza wintwari ntituzibagirwa rimwe intwari zu rwanda zitanze ngo rweme twemarare
@user Ntabwo bakwifuza ko amahoro aboneka kuko imbehe yabo yahita yubama.,negative,ntabwo bakwifuza ko amahoro aboneka kuko imbehe yabo yahita yubama
"Bro ushobora kwiyahura ugapfa, EX wawe akaza kugushyingura Ari kumwe na boyfriend we mushyashya😒 Njye bimaze kumbaho kabiri😭😭. @user 💋💋",negative,bro ushobora kwiyahura ugapfa ex wawe akaza kugushyingura ari kumwe boyfriend mushyashya njye bimaze kumbaho kabiri
"@user Nyamara ubanza kadahenze cyane, twa tumiliyoni duke ufite kuri konti turahagije",neutral,nyamara ubanza kadahenze twa tumiliyoni duke ufite kuri konti turahagije
@user Congratulations... Amatora y'inzego z'ibanze ni vuba . Urangirije igihe ngo tukugire mayor.,positive,congratulations amatora yinzego zibanze ni vuba urangirije igihe ngo tukugire mayor
"Mwiriwe mute? Turi mu makuru yaranze umunsi muri Siporo, @user na @user Shyira kuri 91.5Fm - 105.5Fm - https://t.co/2tvDwEimJN https://t.co/KFOO6vqdgH",neutral,mwiriwe mute turi makuru yaranze umunsi muri siporo shyira kuri fm fm
@user @user @user @user Uyu muyaga wa nyamwigendaho uri gutwara abantu bibwira ko aribyo bitumva bumva igisobanuro cy’ubuzima.,negative,uyu muyaga wa nyamwigendaho uri gutwara abantu bibwira ko aribyo bitumva bumva igisobanuro cyubuzima
Ese wowe nuwo mwashakanye(umugore cg umugabo) mwahitamo ko babatwitira umwana (surrogate)? @user @user @user @user @user @user @user @user @user @user @user @user @user #RwOT #surrogacy https://t.co/wm3GS9yxA4,neutral,ese wowe nuwo mwashakanyeumugore cg umugabo mwahitamo ko babatwitira umwana surrogate rwot surrogacy
@user @user @user Byose baguhaye harimo na #Rwandair kandi n'ingagi bazita imwe #Sugira https://t.co/3ohaOh91Q6,neutral,byose baguhaye harimo rwandair ningagi bazita imwe sugira
@user Ubundi rero uko Kwizera ubanza mwari ukwaba kera peee https://t.co/YKlzzf4vKd,neutral,ubundi rero kwizera ubanza mwari ukwaba kera peee
Uyu munsi ninde wakubeshye nturabukwe? Cyangwa umunsi wo kubeshya waribagiranye!,negative,uyu munsi ninde wakubeshye nturabukwe cyangwa umunsi wo kubeshya waribagiranye
@user Nta big four izabona ahubwo cr7 nareba nabi azakina Europa league 😂😂😂,neutral,nta big izabona ahubwo cr nareba nabi azakina europa league
@user @user @user @user Wowe se uri ikiii☹️☹️😂😂😂,neutral,wowe se uri ikiii
Dore abazi mayi geri yanyayo aho yakuwe ngo ijye ikoreshwa mu mirwano n'imikino njya rugamba https://t.co/DnQqmhFBlJ,neutral,dore abazi mayi geri yanyayo aho yakuwe ngo ijye ikoreshwa mirwano nimikino njya rugamba
"@user Good morning, mwatumenyera uko tuzabona inkunga ya Leta kubantu bagifite ubudehe category kiri kumwe nicya babyeyi???",neutral,good morning mwatumenyera tuzabona inkunga leta kubantu bagifite ubudehe category kiri kumwe nicya babyeyi
Ejo umperekeze nijyanire phone yashaje narinarabuze aho nyishyira🙆🏾‍♀️ Nzaba ntanze umusanzu muri #GreenRwanda kandi binangire n'umunyamahirwe! #RecycleRevolution🔁 https://t.co/lMYhZYpavU,positive,ejo umperekeze nijyanire phone yashaje narinarabuze aho nyishyira nzaba ntanze umusanzu muri greenrwanda binangire numunyamahirwe recyclerevolution
@user Twavuze aho umuntu ava. Gusa ariko nubundi nari nsanzwe ndi mu nda ya Mama. Nonese abagore nta ntanga bagira?,negative,twavuze aho umuntu ava gusa ariko nubundi nari nsanzwe ndi nda mama nonese abagore nta ntanga bagira
Nyamara muve mubyo gutegereza ya pusi murebe uko mwaremera uyu mutype @user https://t.co/tvMhJRMJBL,negative,nyamara muve mubyo gutegereza pusi murebe mwaremera uyu mutype
Nubwo bamwe bafite inkovu k'umutima Abandi k'umubiri. Duhuza ibitecyerezo. Gusa iyo k'umubiri ntisibangana💕. 🇷🇼 Genocide #NeverAgain,neutral,nubwo bamwe bafite inkovu kumutima abandi kumubiri duhuza ibitecyerezo gusa iyo kumubiri ntisibangana genocide neveragain
#Egypt ya @user nayo yaratsizwe nankaswe bo... Let's trust the process https://t.co/7e6MLsHI2r,neutral,egypt nayo yaratsizwe nankaswe bo lets trust process
@user @user @user @user Mva ku izima gute Kandi ndi mu kuri??,positive,mva izima gute ndi kuri
Les jurons que j’ai encaissé last night 💀💀😭😭😭 Iyo ibitutsi biba byica mba napfuye nkazuka nkongera ngapfa 💀,negative,les jurons que jai encaissé night iyo ibitutsi biba byica mba napfuye nkazuka nkongera ngapfa
@user @user Nanjye nahamya ko uwatanze iyo ruswa bigacamo ahita anyurwa. Bariya ni uburakari bw'uko bariwe bagatahira aho.,negative,nanjye nahamya ko uwatanze iyo ruswa bigacamo ahita anyurwa bariya ni uburakari bwuko bariwe bagatahira aho
@user @user @user @user @user Uti rero ibyo akwirakwiza ni ukuri cg ni ibinyoma? Dusobanurire with facts,neutral,uti rero ibyo akwirakwiza ni ukuri cg ni ibinyoma dusobanurire facts
@user Ni ukuri rwose wihangane pe 🙏,neutral,ni ukuri wihangane pe
@user @user Ko mbona nta mikosorere yawe se???😭,negative,ko mbona nta mikosorere yawe se
"👊👊desto &amp;2M # kumuhigo wo gukabya inzozi💥 @user Kigali, Rwanda https://t.co/2b2slW9bPP",neutral,desto ampm kumuhigo wo gukabya inzozi kigali rwanda
@user Ndashaka kuzareba umuntu uha ruswa ngo ujue mu ijuru 😂😂😂😂😂😂,negative,ndashaka kuzareba umuntu uha ruswa ngo ujue ijuru
@user Hahahah. Icyo kizere ndagishaka pe,positive,hahahah icyo kizere ndagishaka pe
"Mwaramutse, @user iyo umuntu amaze kwishyura dosiye ayitegereza igihe kingana gute?",neutral,mwaramutse iyo umuntu amaze kwishyura dosiye ayitegereza igihe kingana gute
Ark ngew mbona abarimu bigisha mut leta icyongereza ni gifaransa bahemberwa ubusa pe kuko ntamusaruro wabo tubona @user @user @user,negative,ark ngew mbona abarimu bigisha mut leta icyongereza ni gifaransa bahemberwa ubusa pe kuko ntamusaruro wabo tubona
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Aha niho itandukanira n'izayibanjirije!! Amagambo make, ibikorwa akaba aribyo bivuga. Nayiha kuyishyigikira no kurinda ibyagezweho. #RwOT @user @user @user @user @user",positive,aha niho itandukanira nizayibanjirije amagambo make ibikorwa akaba aribyo bivuga nayiha kuyishyigikira kurinda ibyagezweho rwot
Harya tuvuge ibintu dusubire ibindi..... abantu bavugaga Rwanda 3 Uganda 1 .... 3 bya Rwanda byagiye hehe 🤣🤣🤣 @user and @user,negative,harya tuvuge ibintu dusubire ibindi abantu bavugaga rwanda uganda rwanda byagiye hehe
@user Bulls twarikuyitsinda byoroshye iyo green aba ahari,neutral,bulls twarikuyitsinda byoroshye iyo green aba ahari
"Dore ibanga ryagufasha kuzigama 58% bya fagitire z’amazi wishyuraga buri kwezi! Utuyunguruzo https://t.co/O7kiKd8ADj tuyungurura burundu amazi y’imvura ukaba wayatekesha, wayanywa, n’ibindi. Gura ubu uhabwe inkunga igera kuri 50%. Kubindi bisobanuro; +250780303482 | @user https://t.co/4L8qVkYFWB",positive,dore ibanga ryagufasha kuzigama fagitire zamazi wishyuraga buri kwezi utuyunguruzo tuyungurura burundu amazi yimvura ukaba wayatekesha wayanywa nibindi gura ubu uhabwe inkunga igera kuri kubindi bisobanuro
@user @user OPC ni he bro?,neutral,opc ni bro
@user Rimwe na rimwe mba mbona ufite ubwenge... nawe watorokanye cash za RNP ubutabera buragutegereje.,positive,rimwe rimwe mba mbona ufite ubwenge nawe watorokanye cash za rnp ubutabera buragutegereje
@user @user @user @user Ubwo tuzajya twikoreshereza gakondo dore nubundi urukingo ruri kutugeraho gake gake,neutral,tuzajya twikoreshereza gakondo dore nubundi urukingo ruri kutugeraho gake gake
"Munyemerere Tuganire kandi twungurane ubumenyi! Ikibazo cyanjye kiragira kiti """"Ese Kwicuza ni bibi Cg biterwa n'Icyo wicuza? #Philosophy #KNOWLEDGE #spirit",neutral,munyemerere tuganire twungurane ubumenyi ikibazo cyanjye kiragira kiti ese kwicuza ni bibi cg biterwa nicyo wicuza philosophy knowledge spirit
"Ariko ibyo ahimba byose, ajye agerageza nibura gushyiramo ubwenge! Hari ikintu udashobora kubeshya ngo gifate. https://t.co/Tkkkkukx53",negative,ariko ibyo ahimba byose ajye agerageza nibura gushyiramo ubwenge hari ikintu udashobora kubeshya ngo gifate
Ibiciro byagabanyijwe bikabije.. igurire mudasobwa kuri make .. @user Rwanda the Heart of Africa https://t.co/l6tZFaiPuB,neutral,ibiciro byagabanyijwe bikabije igurire mudasobwa kuri make rwanda heart africa
@user Nkubu bakaba Ari abanjye,neutral,nkubu bakaba ari abanjye
"#BIRAVUGWA Aka kanya turi kuganira ku avansi ya 2 y’umusoro ku nyungu, menya itariki ntarengwa binyuze muri ikiganiro https://t.co/7JUDQQSL5A https://t.co/hYwkO6u7MF",neutral,biravugwa aka kanya turi kuganira avansi yumusoro nyungu menya itariki ntarengwa binyuze muri ikiganiro
Nyamara kariya ka app karatuma amafaranga atinjira uko bisanzwe.,negative,nyamara kariya ka app karatuma amafaranga atinjira bisanzwe
@user @user Nta kuri yavuze pe! Ahubwo nanze ikinyabupfura gike.,positive,nta kuri yavuze pe ahubwo nanze ikinyabupfura gike
@user Kugenda namaguruse bobakaba bajyana nimodoka aho bagiye hose batitaye kubwurwo rugendo ukorungana urumva mwahurirahe,negative,kugenda namaguruse bobakaba bajyana nimodoka aho bagiye hose batitaye kubwurwo rugendo ukorungana urumva mwahurirahe
@user Yoooo.... urakoze cyane mama. Nawe Imana izaguhe ibizakubaka rwose.,positive,yoooo urakoze mama nawe imana izaguhe ibizakubaka
@user Nubwo Imana igira inzira zirenze 1000 iyo ntayirimo,negative,nubwo imana igira inzira zirenze iyo ntayirimo
@user @user Abantu banakurikira uburyo yari yasobanuye ibindi hano https://t.co/tDzv1670xu,neutral,abantu banakurikira uburyo yari yasobanuye ibindi hano
Arko imbeba ko bazigeragerezaho inkingo mukaba mukomeje kuzica nizishira bizagenda bite,negative,arko imbeba ko bazigeragerezaho inkingo mukaba mukomeje kuzica nizishira bizagenda bite
🚨AMAKURU MASHYA🚨 Inama y'Abaminisitiri yatangaje ko bitakiri itegeko kwambara agapfukamunwa. #RBAAmakuru https://t.co/dP9HCHHTpf,positive,amakuru mashya inama yabaminisitiri yatangaje ko bitakiri itegeko kwambara agapfukamunwa rbaamakuru
@user MN iyo technics irikunkorera😱,positive,mn iyo technics irikunkorera
@user Ikibazo ni umuriro waho😂😂😂💀!,negative,ikibazo ni umuriro waho
@user Niwe warokotse wenyine kuko yasigaye akora akazi ka jack Leonardo du caprion,neutral,niwe warokotse wenyine kuko yasigaye akora akazi ka jack leonardo du caprion
"Igurire dekoderi N’Abonema bya @user kuri 15K gusa , Iyi poromisiyo yatangiye Uyu munsi ntigucike kuko muri sitoke zirabaze. @user @user @user @user @user @user @user @user @user @user @user https://t.co/VqupZ8XoKa",neutral,igurire dekoderi nabonema kuri k gusa iyi poromisiyo yatangiye uyu munsi ntigucike kuko muri sitoke zirabaze
Ese ujya utekereza ko ba bakobwa ahita wirukiramo iyo wagafashe umunsi byanze ntawuzagusanga??,negative,ese ujya utekereza ko ba bakobwa ahita wirukiramo iyo wagafashe umunsi byanze ntawuzagusanga
#Sports yaba igiye kugaruka muri @user nyuma y'aho #Umusportif Prof. Alexandre Lyambabaje yagizwe Umuyobozi Mukuru wayo?? @user @user @user @user @user @user @user @user https://t.co/bYJLmerUfG,neutral,sports yaba igiye kugaruka muri nyuma yaho umusportif prof alexandre lyambabaje yagizwe umuyobozi mukuru wayo
"@user @user @user @user Wasanga nyamara iyi Techinique ya Mutabazi ikora !!!, hhhhh",neutral,wasanga nyamara iyi techinique mutabazi ikora hhhhh
@user Haki ya mungu mukozeho ni yale yale nubundi,neutral,haki mungu mukozeho ni yale yale nubundi
Mbyutse numva umunwa uri kurya mwa bantu mwe ndumva nawukwedurira kubantu..✍️✍️,negative,mbyutse numva umunwa uri kurya mwa bantu mwe ndumva nawukwedurira kubantu
#UCL Ariko aka karirimbo Chorale de Kigali yaragakoze Pe!!! Wayiha amanota angahe ku i 10 wumva iyi ndirimbo? #UCL is Back @user 95.3 FM https://t.co/Y1m6IZ5hN5,positive,ucl ariko aka karirimbo chorale kigali yaragakoze pe wayiha amanota angahe wumva iyi ndirimbo ucl fm
Uri umwana wa kangahe iwanyu? Mfasha dushyire iyi nteruro mu Cyongereza.,neutral,uri umwana wa kangahe iwanyu mfasha dushyire iyi nteruro cyongereza
@user Uwo ni umurozi kabombo uzwi se?👻,negative,uwo ni umurozi kabombo uzwi se
@user @user @user Nawe ntukozwa igikwe se?,negative,nawe ntukozwa igikwe se
Mu Mana biremera wanjye ngaho niba utari umupagani Shima Imana Kandi utagenda utagize icyo uvuga urakoze nyagasani amen🙏🙏🙏 https://t.co/qGTW8ANPgH,positive,mana biremera wanjye ngaho niba utari umupagani shima imana utagenda utagize icyo uvuga urakoze nyagasani amen
"Wabona Icyamamare kiduhaye iyitwa Lockdown, Iyi video ntayirebe pe! https://t.co/t1MnlrtciE",neutral,wabona icyamamare kiduhaye iyitwa lockdown iyi video ntayirebe pe
@user @user Ndumva uzanyrmo nababyeyi ka nkureke n'a so umuntukire nge simvuga abadahari Shame on u mdfk,negative,ndumva uzanyrmo nababyeyi ka nkureke umuntukire nge simvuga abadahari shame u mdfk
"@user Umubyeyi: eeee uratangiye, ubwo bagiye kugutera inda,bla bla... 😂",negative,umubyeyi eeee uratangiye bagiye kugutera indabla bla
@user Mpakurangire uri ready kunywa kamwe se?,neutral,mpakurangire uri ready kunywa kamwe se
@user Hahahh. Turaho. Ikibazo mwabajije kirimbitse cyane. Kucyumva bisa kugihera mu mizi. Muraho murakoma namwe? Amahoro kuri mwe!,positive,hahahh turaho ikibazo mwabajije kirimbitse kucyumva bisa kugihera mizi muraho murakoma namwe amahoro kuri mwe
#RwOT Waha iki @user igenera umubyeyi utwite n'uwonsa batishoboye inkunga ituma bo n'abo batwite/bonsa babaho neza? Buriya kandi n'abagabo babo baboneraho.,positive,rwot waha iki igenera umubyeyi utwite nuwonsa batishoboye inkunga ituma bo nabo batwitebonsa babaho neza buriya nabagabo babo baboneraho
"Imana ibyumve kandi ibikore mwizina rya Yesu, Amen. 🙏 https://t.co/2oL0pINnKQ",positive,imana ibyumve ibikore mwizina rya yesu amen
@user Hahhahahha ubwose kugutegeka birenze ibyo nibihe🤔,negative,hahhahahha ubwose kugutegeka birenze ibyo nibihe
Yarimwiza kera atarasangira ingurube na ndimbati reba akada asigaye afite karimo byeri cg nutuyoka 😂😂😂😩 https://t.co/XuTakjbGyP,negative,yarimwiza kera atarasangira ingurube ndimbati reba akada asigaye afite karimo byeri cg nutuyoka
IKINAMICO: Nta Shema Ridashamitse Igice cya 1. Ni kuri uyu wa kabiri saa 20:45' kuri @user https://t.co/2Q1iIA1IlT,neutral,ikinamico nta shema ridashamitse igice cya ni kuri uyu wa kabiri saa kuri
"@user Ntawurabyanga kuko ntago bafite inkingo zabuze abaziterwa, sinumva ukuntu muvuga ngo hari ababyanze kandi nta na 10% Barakingira. Haracyari kare",positive,ntawurabyanga kuko ntago bafite inkingo zabuze abaziterwa sinumva ukuntu muvuga ngo hari ababyanze nta barakingira haracyari kare
Madamu wa Perezida wa Repubulika Jeannette Kagame na we yitabiriye siporo rusange izwi nka Car Free Day. #RBAAmakuru https://t.co/hc6Ws716jA,neutral,madamu wa perezida wa repubulika jeannette kagame yitabiriye siporo rusange izwi nka car free day rbaamakuru
Gira uruhare urwanya ikwirakwizwa rya COVID19. Korera Murugo kandi urusheho kubahiriza amabwiriza yose.irinde urinde n'abandi. #sindohoka #RwOT https://t.co/oSPnMqGndw,neutral,gira uruhare urwanya ikwirakwizwa rya covid korera murugo urusheho kubahiriza amabwiriza yoseirinde urinde nabandi sindohoka rwot
@user @user @user Gusoma amategeko ni byiza. Binagufasha kwirinda ibyaha kuko hari ibyaha abantu bakora batabizi nubwo hari n'ababikora nkana,positive,gusoma amategeko ni byiza binagufasha kwirinda ibyaha kuko hari ibyaha abantu bakora batabizi nubwo hari nababikora nkana
@user @user @user @user @user @user @user @user @user @user @user @user Iriya nteruro ivuga ngo ufite 25000 yahembwaga 5000 sindimo kuyumva!!! Yashatse kuvugako umukozi yandikirwa 25000 nyamara arahembwa 5000???,neutral,iriya nteruro ivuga ngo ufite yahembwaga sindimo kuyumva yashatse kuvugako umukozi yandikirwa nyamara arahembwa
@user Yarablotse shn ubu ntacyo nareba,negative,yarablotse shn ubu nareba
@user Urukumbuzi ufitiye incarwatsi ni rwo ruri kukuvugisha gutyo 🤣🤣🤣🤣🤣,negative,urukumbuzi ufitiye incarwatsi ni rwo ruri kukuvugisha gutyo
Aka kantu kajye kumvikana neza . Reba ukuntu wagashyira mu ndimi zose zemewe gukoreshwa hano!!! https://t.co/5zjueaJZHa,positive,aka kantu kajye kumvikana neza reba ukuntu wagashyira ndimi zose zemewe gukoreshwa hano
"Inyubako y'umurenge wa @user yatwaye amafaranga y'u Rwanda miliyoni 900 gusa, nyamara ni imwe mu nyubako zigezweho dufite. @user 👏🏾👏🏾👏🏾 @user @user",positive,inyubako yumurenge wa yatwaye amafaranga yu rwanda miliyoni gusa nyamara ni imwe nyubako zigezweho dufite
"@user Nk'iriya transcript uri gukoresha nk'ikimenyetso hari isomo yagize 58 , ubu tayari ari muri Lower😂 nubwo Andi yose yayapfuka",negative,nkiriya transcript uri gukoresha nkikimenyetso hari isomo yagize ubu tayari ari muri lower nubwo andi yose yayapfuka
@user @user Eweee mbega inkurumbi weeee ubuse agiye kuiyahura atabireba raa cg na pfe none ko igihe kigeze,negative,eweee mbega inkurumbi weeee ubuse agiye kuiyahura atabireba raa cg pfe ko igihe kigeze
Iriya interview ya Mama wa Elsa kuyireba Ngo nyirangize birananiye pe! Mbega umubyeyi ubabaje! 😭😭😭,negative,iriya interview mama wa elsa kuyireba ngo nyirangize birananiye pe mbega umubyeyi ubabaje
Ese nkuburyamye unsobanuriye icyo Kano ga Flag kavuze wabik😢😢😢😢🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩,neutral,ese nkuburyamye unsobanuriye icyo kano ga flag kavuze wabik
@user Nones woe dufite icyo dupfana ??,neutral,nones woe dufite icyo dupfana
