text,label
Ese mwabonye update kuri app? It's very fast now 😂.,normal
Uri ibicucu rwose 🤡.,offensive
Ese mwabonye update kuri app? It's very fast now 🔥.,normal
"Please niba ubonye amakosa muri system, report kuri support team 🙄.",normal
Murakoze cyane kubw'amakuru meza 😂.,normal
"Bruh, stop acting like a ibicucu 🤡.",offensive
Abanyarwanda bakwiye kwirukanwa mu gihugu 😭.,hate
Ese mwabonye update kuri app? It's very fast now 😡.,normal
"Ndi happy na service yanyu, thanks 😭.",normal
Tf bro? Urimo kwitwara nka inyenzi 🤡.,offensive
Ese mwabonye update kuri app? It's very fast now 😂.,normal
Abahutu bose ni abaswa 😂. Tugomba kubirwanya!,hate
Murakoze cyane kubw'amakuru meza 😭.,normal
Abahutu ni ikibazo gikomeye mu gihugu cyacu 🔥 bruh.,hate
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 🤡 lmao.,hate
Lmao @mugisha uri ibicucu lmao 😡.,offensive
"Abategetsi = ibicucu kabisa, lmao 😭.",hate
Uyu system irakora neza ariko needs improvements 🤡.,normal
"Bruh, stop acting like a abaswa 💩.",offensive
Tf bro? Urimo kwitwara nka abaswa 😭.,offensive
"Abanyarwanda = ibyihebe kabisa, fr 😭.",hate
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 🤡 fr.,hate
Twese dukwiriye kubana mu mahoro no respect 😭.,normal
Tf bro? Urimo kwitwara nka ibyihebe 🙄.,offensive
Murakoze cyane kubw'amakuru meza 😡.,normal
"Bruh, stop acting like a ibyihebe 🙄.",offensive
Uyu system irakora neza ariko needs improvements 😂.,normal
Lmao @mugisha uri ibyihebe nah 🤡.,offensive
"Ibyo uvuga ni ibyihebe 🙄, wowe @maria.",offensive
Lmao @john uri ibisambo bruh 😂.,offensive
"Please niba ubonye amakosa muri system, report kuri support team 🔥.",normal
Ese mwabonye update kuri app? It's very fast now 💩.,normal
Tf bro? Urimo kwitwara nka ibyihebe 💩.,offensive
Abanyarwanda dukwiye unity na love 🙄.,normal
Tf bro? Urimo kwitwara nka ibigarasha 😡.,offensive
Ese mwabonye update kuri app? It's very fast now 😂.,normal
"Ibyo uvuga ni abaswa 💩, wowe @maria.",offensive
Abanyarwanda bose ni inyenzi 🔥. Tugomba kubirwanya!,hate
Lmao @maria uri inyenzi nah 😡.,offensive
Lmao @mugisha uri ibyihebe bruh 💩.,offensive
Uri ibigarasha rwose 💩.,offensive
Keep up the good work 💩.,normal
"Ibyo uvuga ni ibisambo 😂, wowe @peter.",offensive
Uri ibyihebe rwose 🤡.,offensive
Ese mwabonye update kuri app? It's very fast now 🤡.,normal
"Ndi happy na service yanyu, thanks 🤡.",normal
"Bruh, stop acting like a ibigarasha 🤡.",offensive
Tf bro? Urimo kwitwara nka ibicucu 😡.,offensive
"Ibyo uvuga ni ibicucu 😂, wowe @mugisha.",offensive
Ese mwabonye update kuri app? It's very fast now 😡.,normal
"Bruh, stop acting like a ibisambo 😡.",offensive
Lmao @keza uri abaswa smh 🤡.,offensive
"Ibyo uvuga ni abaswa 🔥, wowe @keza.",offensive
@maria ndagushimira cyane kubw'ubufasha bwawe 🔥.,normal
"Ntabwo nemera Abahutu, ni ibisambo 🔥.",hate
"Abategetsi = ibisambo kabisa, tf 🔥.",hate
"Ibyo uvuga ni inyenzi 🔥, wowe @mugisha.",offensive
Uri abaswa rwose 🤡.,offensive
Abanyarwanda dukwiye unity na love 😭.,normal
Keep up the good work 😂.,normal
Abanyarwanda dukwiye unity na love 🔥.,normal
"Ibyo uvuga ni ibigarasha 🤡, wowe @john.",offensive
"Ntabwo nemera Abategetsi, ni ibyihebe 😂.",hate
"Ndi happy na service yanyu, thanks 😂.",normal
Abatutsi bose ni inyenzi 🔥. Tugomba kubirwanya!,hate
Lmao @keza uri abaswa nah 🙄.,offensive
Keep up the good work 🔥.,normal
Keep up the good work 🔥.,normal
